id,order_date,delivery_date,net_value,client
1,2023-09-29,2023-10-04,322407,Microsoft
2,2022-01-09,2022-01-14,335204,Microsoft
3,2023-01-12,2023-01-17,249325,Adobe
4,2023-09-07,2023-09-12,113953,Adobe
5,2023-06-09,2023-06-14,303600,Amazon
6,2023-04-10,2023-04-15,272276,Apple
7,2021-12-13,2021-12-18,197745,Apple
8,2023-09-18,2023-09-23,258186,Yahoo
9,2022-11-17,2022-11-22,44884,Google
10,2021-12-23,2021-12-28,216549,Apple
11,2023-02-03,2023-02-08,132736,Amazon
12,2023-04-01,2023-04-06,90987,Finale
13,2023-10-25,2023-10-30,210221,Google
14,2023-07-16,2023-07-21,118678,Apple
15,2023-07-01,2023-07-06,327549,Amazon
16,2023-10-07,2023-10-12,298179,Sibelius
17,2022-11-15,2022-11-20,261704,Microsoft
18,2022-07-21,2022-07-26,405978,Microsoft
19,2022-09-23,2022-09-28,312795,Adobe
20,2022-11-05,2022-11-10,373720,Google
21,2022-10-16,2022-10-21,497026,Chami
22,2022-02-09,2022-02-14,459881,Adobe
23,2022-11-10,2022-11-15,368561,Sibelius
24,2023-01-04,2023-01-09,192065,Borland
25,2022-11-12,2022-11-17,33617,Yahoo
26,2022-02-23,2022-02-28,252196,Lavasoft
27,2022-03-12,2022-03-17,192823,Cakewalk
28,2022-11-05,2022-11-10,148480,Google
29,2021-11-26,2021-12-01,148985,Sibelius
30,2023-07-25,2023-07-30,281402,Yahoo
31,2022-02-09,2022-02-14,100921,Adobe
32,2022-09-28,2022-10-03,101106,Chami
33,2022-07-24,2022-07-29,330585,Cakewalk
34,2021-12-05,2021-12-10,435166,Amazon
35,2022-04-30,2022-05-05,343305,Finale
36,2023-08-28,2023-09-02,442758,Borland
37,2023-03-16,2023-03-21,438581,Adobe
38,2023-01-13,2023-01-18,25012,Chami
39,2023-08-31,2023-09-05,311406,Apple
40,2023-06-28,2023-07-03,55086,Sibelius
41,2023-04-29,2023-05-04,9779,Finale
42,2022-05-08,2022-05-13,423148,Google
43,2022-01-18,2022-01-23,294637,Sibelius
44,2022-06-14,2022-06-19,418662,Google
45,2022-07-18,2022-07-23,200140,Finale
46,2022-02-04,2022-02-09,149655,Finale
47,2022-06-06,2022-06-11,58540,Lavasoft
48,2022-12-03,2022-12-08,163609,Google
49,2022-05-13,2022-05-18,103015,Chami
50,2022-12-13,2022-12-18,428049,Adobe
51,2022-04-30,2022-05-05,422501,Chami
52,2022-07-14,2022-07-19,319786,Borland
53,2022-06-15,2022-06-20,206975,Apple
54,2023-03-19,2023-03-24,55689,Yahoo
55,2023-01-05,2023-01-10,3758,Adobe
56,2022-12-11,2022-12-16,271995,Sibelius
57,2023-06-04,2023-06-09,5106,Borland
58,2023-04-15,2023-04-20,188023,Cakewalk
59,2023-03-19,2023-03-24,13993,Yahoo
60,2022-11-15,2022-11-20,441211,Yahoo
61,2023-02-02,2023-02-07,104849,Adobe
62,2022-06-04,2022-06-09,419020,Sibelius
63,2023-10-21,2023-10-26,110068,Lavasoft
64,2022-12-10,2022-12-15,67785,Adobe
65,2023-05-05,2023-05-10,484511,Microsoft
66,2022-11-23,2022-11-28,307680,Google
67,2023-05-06,2023-05-11,101700,Microsoft
68,2022-09-22,2022-09-27,446154,Google
69,2022-04-27,2022-05-02,262215,Yahoo
70,2023-09-08,2023-09-13,151066,Sibelius
71,2023-02-24,2023-03-01,16866,Chami
72,2023-04-18,2023-04-23,44279,Apple
73,2022-08-01,2022-08-06,422219,Chami
74,2021-12-30,2022-01-04,252979,Apple
75,2022-03-20,2022-03-25,451929,Finale
76,2023-04-24,2023-04-29,286596,Borland
77,2022-08-07,2022-08-12,486350,Yahoo
78,2023-02-15,2023-02-20,210867,Chami
79,2022-04-22,2022-04-27,4637,Borland
80,2022-02-05,2022-02-10,260862,Finale
81,2023-07-15,2023-07-20,8005,Apple
82,2023-08-19,2023-08-24,254931,Amazon
83,2023-04-20,2023-04-25,5414,Yahoo
84,2022-02-08,2022-02-13,122320,Cakewalk
85,2022-01-16,2022-01-21,214641,Apple
86,2021-12-26,2021-12-31,356255,Yahoo
87,2023-11-18,2023-11-23,379067,Sibelius
88,2022-06-21,2022-06-26,253034,Sibelius
89,2022-04-12,2022-04-17,52469,Cakewalk
90,2022-05-27,2022-06-01,84014,Finale
91,2023-03-23,2023-03-28,43464,Yahoo
92,2023-07-25,2023-07-30,465625,Chami
93,2022-12-31,2023-01-05,352882,Chami
94,2022-05-16,2022-05-21,153000,Cakewalk
95,2022-11-01,2022-11-06,286795,Adobe
96,2023-04-27,2023-05-02,214196,Borland
97,2023-08-15,2023-08-20,67439,Google
98,2023-08-03,2023-08-08,306567,Chami
99,2023-09-25,2023-09-30,202207,Lavasoft
100,2023-11-14,2023-11-19,320695,Chami
